path,role,audit_issues
.claude/CLAUDE.md,Repository configuration or documentation,
.claude/settings.json,Repository configuration or documentation,
.dockerignore,Repository configuration or documentation,
.githooks/README.md,Repository configuration or documentation,
.githooks/pre-push,Repository configuration or documentation,
.github/CODE_OF_CONDUCT.md,Repository automation,
.github/CONTRIBUTING.md,Repository automation,
.github/FUNDING.yml,Repository automation,
.github/ISSUE_TEMPLATE.md,Repository automation,
.github/ISSUE_TEMPLATE/bug_report.yml,Repository automation,
.github/ISSUE_TEMPLATE/config.yml,Repository automation,
.github/ISSUE_TEMPLATE/custom.yml,Repository automation,
.github/ISSUE_TEMPLATE/feature_request.yml,Repository automation,
.github/PULL_REQUEST_TEMPLATE.md,Repository automation,
.github/SECURITY.md,Repository automation,
.github/workflows/docker-publish.yml,Repository automation,#973;#974
.gitignore,Repository configuration or documentation,
.impeccable.md,Repository configuration or documentation,
Dockerfile,Repository configuration or documentation,
LICENSE,Repository configuration or documentation,
README.es.md,Repository configuration or documentation,
README.ja.md,Repository configuration or documentation,
README.md,Repository configuration or documentation,
README.zh-CN.md,Repository configuration or documentation,
SETUP.es.md,Repository configuration or documentation,
SETUP.ja.md,Repository configuration or documentation,
SETUP.md,Repository configuration or documentation,
SETUP.zh-CN.md,Repository configuration or documentation,
apps/backend/.env.example,Backend runtime or tooling,
apps/backend/.env.sample,Backend runtime or tooling,
apps/backend/.gitignore,Backend runtime or tooling,
apps/backend/.python-version,Backend runtime or tooling,
apps/backend/CLAUDE.md,Backend runtime or tooling,
apps/backend/app/__init__.py,Backend runtime or tooling,
apps/backend/app/ai_budget.py,Backend runtime or tooling,#942;#973;#974
apps/backend/app/ai_limits.py,Backend runtime or tooling,#942
apps/backend/app/config.py,Backend runtime or tooling,#932;#942;#948;#949;#950;#951;#972
apps/backend/app/config_cache.py,Backend runtime or tooling,#932;#972
apps/backend/app/crypto.py,Backend runtime or tooling,
apps/backend/app/database.py,Backend runtime or tooling,#948;#949;#950;#951;#952;#953;#954;#955;#956;#957;#958;#973;#974
apps/backend/app/db_engine.py,Backend runtime or tooling,#948;#949;#950;#951;#952;#953;#954
apps/backend/app/llm.py,Backend runtime or tooling,#942;#943;#944;#945;#969;#973;#974;#975
apps/backend/app/main.py,Backend runtime or tooling,#955;#956;#957;#958;#973;#974
apps/backend/app/models.py,Backend runtime or tooling,#948;#949;#950;#951;#952;#953;#954;#955;#956;#957;#958
apps/backend/app/pdf.py,Backend runtime or tooling,#960;#961;#962;#973;#974
apps/backend/app/preview.py,Backend runtime or tooling,#948;#949;#950;#951
apps/backend/app/prompts/__init__.py,AI prompt,
apps/backend/app/prompts/enrichment.py,AI prompt,
apps/backend/app/prompts/refinement.py,AI prompt,
apps/backend/app/prompts/resume_wizard.py,AI prompt,#946
apps/backend/app/prompts/templates.py,AI prompt,
apps/backend/app/routers/__init__.py,Backend API boundary,
apps/backend/app/routers/applications.py,Backend API boundary,#955;#956;#957;#958;#973;#974
